name,price,sex,height,color,location,markings,weight,foaldate,registrations,disciplines,temperament
Miss Smooth Tres,500,Mare,15.286,Sorrel,"Sweetwater, Tennessee","Star, right hind coronet white.",,4-Apr,AQHA - American Quarter Horse Association (4649952),Trail Horse (Prospect) Breeding (Prospect),4.279
Sunnybrook By Design,8500,Mare,15.013,Bay,"So. Royalton, Vermont","star, low white sock",,2-Jan,AMHA - American Morgan Horse Association (),Trail Horse (Trained) English Pleasure (Competed or Shown) Eventing (Competed or Shown) Driving (Trained),4.28
books and more!!,25,Stallion,4.997,Chestnut,"ohio, Ohio",none,,Mar-90,,,4.281
Diamond in the Ruff,0,Gelding,14.104,Grey,"Richmond, Massachusetts",,,Jan-93,,Hunter (Champion) Equitation (Champion) Jumper (Champion) Lesson Horse (Trained) Trail Horse (Trained),4.284
Bad Little LeRoy,3000,Gelding,15.09,Bay,"Murfreesboro, Tennessee",bay tobiano,,10-Mar,"APHA - American Paint Horse Association (983,593) ARHA American Ranch Horse Association (05125590P)",Working Cow Horse (Prospect) Team Roping (Prospect) Ranch Horse (Prospect),4.288
Fieri Validus,7500,Mare,16.285,Chestnut,"Gordonsville, Virginia",star.,1000 pounds,11-Mar,,Eventing (Prospect) Equitation (Prospect) Jumper (Prospect),4.289
Eyes A Jewel,8500,Mare,15.094,Chestnut,"Landrum, South Carolina",Star and strip,,7-Jan,,Hunter  Eventing ,4.29
Luna Del Gato,10000,Gelding,16.089,Black,"Loxahatchee, Florida",Small white star,,4-Mar,JC - Jockey Club (H12485) USEF - United States Equestrian Federation (5257664),Hunter (Champion),4.292
Shamrocks Daze (Aberdare),2500,Mare,14.115,Chestnut,"Midland, North Carolina",blaze and two socks,,8-May,,Hunter (Prospect) Equitation (Prospect) Jumper (Prospect) Trail Horse (Trained),4.293
Ash,15000,Mare,16.192,Grey,"Milton, Ontario, Canada",,,8-Jan,,Hunter ,4.293
PEPTOS GAMBLER,5500,Gelding,15.004,Brown,"Bastrop, Louisiana",BLAZE EXTENDING INTO NOSTRILS,1000 pounds,4-Apr,AQHA - American Quarter Horse Association (4629977),Cutting (Competed or Shown),4.295
Stragos Cashn In,5500,Gelding,16.118,Sorrel,"Denton, North Carolina",,,6-Apr,AQHA - American Quarter Horse Association (4920680),Barrel Racing  Pole Bending  Hunter ,4.295
Moscato,10000,Gelding,16.116,Grey,"Huntsburg, Ohio","hind stocking, blaze, snip",1100 pounds,5-Mar,,Jumper (Trained) Equitation  Eventing (Competed or Shown) Hunter (Competed or Shown),4.297
Green Gate Farm's Luck be a Lady (Barn Name: Angelica),5000,Mare,15.202,Black,"Bridgewater, Connecticut",All black except for 15 white hairs on head,1100 pounds,2-Jul,,Western Pleasure (Prospect) Eventing (Prospect) English Pleasure (Trained) Dressage (Trained) Country Pleasure (Trained),4.298
Defiant Lass,12000,Mare,15.29,Bay,"North Kingstown , Rhode Island",One white sock,,4-May,JC - Jockey Club (),Jumper (Trained) Equitation (Competed or Shown) Hunter (Competed or Shown),4.298
Poco Magnolia Bar,1200,Mare,14.303,Chestnut,"Zolfo Springs, Florida",,,3-Apr,AQHA - American Quarter Horse Association (4368110),Brood Mare ,4.303
Neela,4000,Mare,15.312,Chestnut,"Kevil, Kentucky","star, two hind socks",1150 pounds,9-Jun,,Breeding (Prospect) Eventing (Prospect) Dressage (Prospect) Hunter (Prospect) Jumper (Prospect),4.303
Donatello,50000,Gelding,16.096,Black,"Newport Beach, California",Four even white socks and Beautiful Blaze,,7-Jun,,Jumper ,4.31
LF Quarter Jack,3800,Gelding,16.191,Bay,"Vergennes, Vermont","Star, Hind Cornets",1335 pounds,1-May,AQHA - American Quarter Horse Association (4114824),Horsemanship (Trained) Trail Horse (Trained) Ranch Horse (Trained) Working Cow Horse (Prospect) Ranch Sorting (Prospect),4.31
Balla Ruan,12000,Gelding,16.21,Chestnut,"Hamilton, Ohio","Star, Front Socks",,8-Jun,AWS - American Warmblood Society (AWS2010080) Irish Draught Horse Society of North America (MS0801569),Eventing (Competed or Shown) Dressage (Champion) Field Hunter (Trained) Hunter (Competed or Shown) Driving (Trained),4.31
Something Pretty,1500,Mare,13.11,Grey,"Cape Girardeau, Missouri",,,Apr-00,USEF - United States Equestrian Federation (5220160) WPCSA - Welsh Pony and Cob Society of America (B-41233),Jumper (Trained) Eventing (Trained) Dressage (Prospect),4.312
Ghost Flight,3000,Gelding,14.997,Grey,"Delhi, New York",,,6-Jun,,Western Pleasure (Prospect) English Pleasure (Prospect),4.312
Blue Roan Pony,6000,Mare,13.116,Roan,"Holly, Michigan",stripe two hind socks,,7-Feb,,Hunter (Champion),4.315
Stormy,2500,Mare,15.211,Black,"los angeles, California",WHITE STAR ON HEAD,1000 pounds,Apr-00,TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association (20006424),Brood Mare (Trained) Trail Horse (Trained),4.315
Feldmark,90000,Gelding,16.318,Chestnut,"vista, California","four white socks, thin blaze",1100 pounds,Feb-99,,Dressage (Competed or Shown) Trail Horse (Trained),4.315
,9800,Gelding,16.118,Bay,"Worthington, Ohio",Star,,1-May,,Eventing (Prospect) Equitation (Prospect) Dressage (Prospect) Jumper (Prospect) Hunter (Competed or Shown),4.316
lovely isabelle,500,Mare,15.181,Chestnut,"burlington, New Jersey",blaze,,1-Jan,,Brood Mare  Hunter Under Saddle  Lesson Horse ,4.318
Nabors Chardonnay,500,Mare,15.006,Grey,"Lake View Terrace, California",,,May-90,AHA - Arabian Horse Association (0468264),Western Riding  Trail Horse  Endurance Riding  Brood Mare ,4.319
CAUSIN A FUSS,2000,Mare,15.089,Sorrel,"LaPine, Oregon",star/sock,1050 pounds,3-May,AQHA - American Quarter Horse Association (4358743),Breeding ,4.32
Bachiller,30000,Gelding,16.088,Grey,"Fallbrook, California",,1000 pounds,6-May,,Dressage ,4.323
High Brow Solano Miss,2500,Mare,14.193,Sorrel,"Plain Dealing, Louisiana",,1000 pounds,6-Feb,AQHA - American Quarter Horse Association (4822078),Cutting (Prospect) Calf Roping (Prospect) Ranch Horse (Prospect) Ranch Sorting (Prospect) Reining (Prospect),4.332
Chester's Last Stand,7500,Gelding,15.018,Bay,"Louisville, Mississippi",Solid (no markings),900 pounds,6-Mar,Moutain Pleasure Horse Association (2006035),Gaited (Champion) Country Pleasure (Competed or Shown) English Pleasure (Competed or Shown) Halter (Prospect) Trail Horse (Trained),4.336
Bandolero Del Batey,2000,Gelding,14.183,White,"Davie, Florida",,,Apr-98,"PFHA - Paso Fino Horse Association (31,285)",Trail Horse (Trained) Gaited (Trained),4.337
SEQUOIA,1200,Mare,15.191,Roan,"Millbrook, New York",Strawberry mane and tail,1100 pounds,Jan-00,,Trail Horse (Rank Not Applicable),4.341
High Society J,1400,Gelding,15.12,Bay,"rice lake, Wisconsin",,,8-May,IAHA - Half-Arabian Horse Association (),Trail Horse (Prospect) Youth/4-H Horse (Prospect) Reining (Prospect) English Pleasure (Prospect) Western Pleasure (Show) (Prospect),4.342
Center Harbor,18500,Gelding,16.985,Bay,"The Plains, Virginia",,,6-Jan,,Dressage (Prospect) Eventing (Prospect),4.343
Rois Dusty Flair,1800,Mare,15,Bay,"Sigel, Illinois",Full leopard,,10-Sep,ApHC - Appaloosa Horse Club (),Eventing (Prospect) Jumper (Prospect) Trail Horse (Prospect) Dressage (Prospect) Brood Mare (Prospect),4.348
Charlie,5000,Gelding,16,Bay,"Hanover, Illinois",,,8-Apr,JC - Jockey Club (),English Pleasure (Trained) Hunter (Trained) Eventing (Prospect) Dressage (Trained) Jumper (Trained),4.348
Austin,500,Gelding,13.194,Sorrel,"Colorado Springs, Colorado",4 socks,,11-Apr,,Youth/4-H Horse  Western Pleasure (Show)  Equitation  Hunter ,4.351
Zippos Mystical Ace,12500,Gelding,15.113,Bay,"Albany, Georgia",,,7-Apr,AQHA - American Quarter Horse Association (),Western Pleasure (Show) (Competed or Shown) Horsemanship (Competed or Shown) Showmanship  Trail Horse  Equitation ,4.352
Cody,4000,Gelding,15.22,Sorrel,"Clayton , Indiana",White,,9-May,,Western Pleasure (Show) (Prospect) Trail Horse (Prospect) Showmanship (Prospect) Hunter Under Saddle (Prospect) Endurance Riding (Prospect),4.352
Duncan,5000,Gelding,14.013,Brown,"Southbury, Connecticut","Right blue eye, four socks, big blaze",750 pounds,12-Apr,,Jumper (Prospect) Field Hunter (Prospect) Eventing (Prospect) Dressage (Prospect),4.354
Lucas,2000,Gelding,15.004,Bay,"Brentwood, California",,,6-Jan,,Youth/4-H Horse (Prospect) Western Riding (Prospect) English Pleasure (Prospect) Dressage (Prospect) Hunter Under Saddle (Prospect),4.358
Hannahs Big Diamond,3000,Gelding,15.181,Bay,"Baldwin, Wisconsin",,1100 pounds,Aug-00,AQHA - American Quarter Horse Association (),Trail Horse (Trained) Barrel Racing (Prospect) Western Riding (Trained) Reining (Prospect) Competitive Trail Competitions (Prospect),4.361
fancy,6000,Mare,15.099,Black,"moorhead, Minnesota",none,,5-Jun,,Not Applicable ,4.373
Duke Wilson,7500,Gelding,16.292,Grey,"New Paltz , New York",,,5-Apr,,Field Hunter (Competed or Shown) Driving (Champion) Pleasure Driving (Champion) Dressage (Competed or Shown) Trail Horse (Champion),4.374
The Prestige,25000,Gelding,16.98,Bay,"Powder Springs, Georgia",Three socks and star,,8-Jan,,Eventing (Prospect) Jumper (Competed or Shown),4.374
Roddy,15000,Gelding,16.311,Grey,"Brunswick, Georgia",,,8-Apr,AHS - American Hanoverian Society (840023039436708),Hunter (Prospect) Dressage (Prospect) Equitation (Prospect),4.378
Dakota's Surprise,12000,Gelding,16.21,Buckskin,"Orlean, Virginia","White half moon on forehead, white snip on upper lip, one sock on right hind leg, one anklet on left hind leg, three leaf clover marking on front of now",,4-Apr,,Eventing (Prospect) Field Hunter (Prospect) Jumper (Competed or Shown) Hunter (Competed or Shown),4.379
Scooter,2500,Gelding,14.998,Sorrel,"Trinidad, Colorado",Tobiano blaze,1100 pounds,5-Jan,,Barrel Racing (Prospect) English Pleasure (Prospect) Western Pleasure (Trained) Halter (Trained) Hunter Under Saddle (Prospect),4.38
Hypnotique Illusion - Dream maker!,0,Mare,16,Perlino,"Antioch, Illinois",,,Jan-00,,Hunter (Rank Not Applicable) Halter (Rank Not Applicable) Trail Horse (Competed or Shown) Brood Mare (Rank Not Applicable) Dressage (Trained),4.389
Pegasus Mocha Spice,5500,Mare,15.193,Buckskin,"Wheeling, West Virginia",Left hind pasturn white,,10-Jul,JC - Jockey Club (1026132),Eventing (Prospect) Jumper (Prospect) Dressage (Prospect) Breeding (Prospect) Hunter (Prospect),4.398
Ben,25000,Gelding,17.193,Grey,"Newfane, Vermont",,,1-Jan,,Dressage ,5.003
BAYOU ANNAS LAST,18000,Mare,14.106,Dun,"BRENHAM, Texas","star, stripe and snip, two rear socks",1050 pounds,8-May,AQHA - American Quarter Horse Association (5075051),Trail Horse (Trained) Team Penning (Trained) Team Sorting (Trained) Reined Cow Horse (Trained) Cutting (Competed or Shown),5.004
Bubblin Fairfax,1000,Mare,12.982,Dun,"Cheyenne Wells, Colorado","star, strip and snif extending onto upper lip. Dark spot above nostril. Right fore coronet partially white. left hind half pastern partially white. not other markings",750 pounds,11-May,,Pole Bending (Rank Not Applicable) Ranch Horse (Rank Not Applicable) Youth/4-H Horse (Rank Not Applicable),5.008
Slidin Special Effort (pending),1200,Stallion,15.001,Bay,"College Station , Texas","star, snip",,11-Apr,APHA - American Paint Horse Association (),Barrel Racing (Prospect) Team Roping (Prospect),5.015
Shesa Shady Amiga,6500,Mare,15.018,Bay,"Schulenburg, Texas",,,9-Mar,AQHA - American Quarter Horse Association (5263010),Western Riding (Prospect) Western Pleasure (Prospect),5.017
Sienna,5800,Mare,16.094,Bay,"Akron, Ohio",,,8-Jan,JC - Jockey Club (),Hunter Under Saddle  Eventing (Competed or Shown) Dressage (Competed or Shown) Hunter (Competed or Shown) Jumper (Competed or Shown),5.021
Florentino,45000,Gelding,15.313,Chestnut,"Green Bay , Wisconsin","star, brand",,7-Mar,USEF - United States Equestrian Federation (5007649) westphalian (441411794207),Jumper (Competed or Shown) Dressage (Trained),5.026
Mainstay,35000,Gelding,16.22,Bay,"Ocala, Florida",,,7-Jan,,Jumper  Eventing ,5.028
Wins All The Time aka Boots,18500,Gelding,15.312,Chestnut,"Rancho Santa Fe, California",4 White Feet and half white face. Left blue eye and half blue right eye.,,5-Apr,"APHA - American Paint Horse Association (851,092) PtHA - Pinto Horse Association of America (139393) National Snaffle Bit Association Breeders Championship Futurity (851,092)",Hunter ,5.029
I'm Da Chick,5900,Mare,15.188,Chestnut,"Paso Robles, California",2 socks & blaze,1000 pounds,2-May,AQHA - American Quarter Horse Association (),Trail Horse  Jumper ,5.033
Ganymede,40000,Mare,14.218,Bay,"Louisa, Virginia",No white,,3-Jun,ACPS - American Connemara Pony Society (HB M 866 XLII) ISR/Oldenburg (99-24806-03),Eventing (Champion) Jumper (Champion) Dressage (Trained),5.036
Jasper,600,Gelding,14.289,Black,"Breckenridge, Colorado",,,2-Jan,,,5.041
Endeavor H,4500,Gelding,15.287,Grey,"Jarrettsville, Maryland",,1100 pounds,1-Feb,AHA - Arabian Horse Association (584080),Trail Horse (Rank Not Applicable) Halter (Champion) Hunter Under Saddle (Competed or Shown) Dressage (Competed or Shown),5.044
Zezou,25000,Gelding,16.093,Grey,"Orchard Park, New York",,,3-Aug,USEF - United States Equestrian Federation (5115283),Jumper (Competed or Shown) Equitation (Competed or Shown) Hunter (Competed or Shown) Horsemanship (Competed or Shown) Eventing (Prospect),5.045
Caesar,6500,Gelding,17.302,Grey,"Blythewood, South Carolina",,,2-Apr,,Hunter (Competed or Shown) Jumper (Competed or Shown) Hunter Under Saddle (Competed or Shown) Dressage (Prospect) English Pleasure (Competed or Shown),5.047
Tango,9000,Gelding,16.3,Bay,"Friedens, Pennsylvania",,1100 pounds,7-May,,Jumper (Competed or Shown) Hunter (Competed or Shown) Field Hunter (Trained) Eventing (Competed or Shown) Dressage (Competed or Shown),5.048
Henny,2500,Mare,16.016,Grey,"Alvarado, Texas","Star, Strip,and snip",,Feb-00,AQHA - American Quarter Horse Association (0376066),Western Riding (Trained) Brood Mare (Champion),5.05
Xico HM,45000,Gelding,15.305,Bay,"New Haven, Vermont",Large star,,2-Sep,IALHA - International Andalusian & Lusitano Horse Association (),Dressage (Competed or Shown),5.054
TripTheLightFantastic,25000,Gelding,16.195,Bay,"Stephens City, Virginia","Large Blaze, 2 front socks, 2 hind stockings",1200 pounds,11-Apr,USEF - United States Equestrian Federation (5201931) Oldenburg Registry NA (Premium) (840017 33-99675-11),Eventing (Prospect) Dressage (Prospect) Jumper (Prospect) Hunter (Prospect),5.054
badlands dena,2000,Mare,15.09,Dun,"orlando, Florida",,1200 pounds,1-Apr,AQHA - American Quarter Horse Association (4089501),Trail Horse ,5.062
Sophisticated Fun,2900,Mare,16.01,Bay,"Spring Hill, Tennessee",star,,Dec-97,,Jumper (Competed or Shown) Eventing (Competed or Shown) Dressage (Competed or Shown),5.065
Linas Lil Sapphire,1500,Mare,15.212,Bay,"Hingham, Montana","Star, Strip,Snip, 2 rear hind socks",1200 pounds,5-Mar,AQHA - American Quarter Horse Association (4671821),Brood Mare (Rank Not Applicable),5.067
Shyla,1800,Mare,14.208,Other,"Barnstead, New Hampshire",,,3-Jan,,English Pleasure (Prospect) Hunter Under Saddle (Prospect) Pole Bending (Prospect) Barrel Racing (Prospect) Youth/4-H Horse (Prospect),5.07
Apollo,7000,Gelding,16.185,Grey,"Cypress, Texas",,1200 pounds,6-Jan,,Eventing (Trained) Jumper (Trained),5.075
Monty Valentino,35000,Gelding,16.305,Bay,"Guelph, Ontario, Canada","strip and snip, 1 white stocking",,9-May,,Dressage (Trained),5.079
Tigger,8500,Gelding,14.098,Pinto,"Johnson City, Tennessee",Chestnut Tobiano,950 pounds,3-Jan,,Lesson Horse (Trained) Jumper (Trained) Hunter (Competed or Shown) Eventing (Competed or Shown) Dressage (Champion),5.093
Nikki,400,Mare,14.292,Bay,"Colesville, New Jersey",,850 pounds,9-Mar,,,5.096
GW Lees Last Encore,1500,Gelding,13.207,Palomino,"Stover, Missouri",small star,800 pounds,11-Apr,AHA - Arabian Horse Association (HAHR*1A373060),Western Riding (Prospect) Western Pleasure (Show) (Prospect) Youth/4-H Horse (Prospect) Western Pleasure (Prospect) Trail Horse (Prospect),5.1
KCS Champagne Wishes,925,Mare,14.193,Champagne,"Frederick, South Dakota",Big blaze and 2 hind white socks,,11-Jun,APHA - American Paint Horse Association (1008841),Brood Mare (Prospect) Youth/4-H Horse (Prospect) Breeding (Prospect),5.105
Lady,1500,Mare,14.205,Brown,"Milaca, Minnesota",Bay with White on body. same color mane but has some black in it,,3-Jan,,Country Pleasure  Trail Horse  Western Riding ,5.107
Noel,1200,Gelding,15.117,Other,"Vienna, Illinois",,,4-Dec,,Not Applicable ,5.107
Gamaliel,15000,Stallion,15.215,Bay,"Cary, North Carolina",Blaze and white stocking,750 pounds,11-Jul,KWPN - Dutch Warmblood Studbook in North America (840025 201100214),Jumper (Prospect) Dressage (Prospect),5.107
Low Riding Leo,1000,Gelding,13.111,Dun,"Cheyenne Wells, Colorado",Star,800 pounds,11-Jul,,Youth/4-H Horse (Prospect) Cutting (Prospect) Horsemanship (Prospect) Pole Bending (Prospect) Barrel Racing (Prospect),5.109
SR Ssavant,17000,Gelding,15.108,Grey,"Scottsdale, Arizona",,900 pounds,6-Apr,AHA - Arabian Horse Association (0626997),Dressage (Competed or Shown) Driving (Prospect),5.112
Lucky,600,Gelding,15.184,White,"Siler City, North Carolina",,,5-Jan,,Trail Horse (Rank Not Applicable) Western Riding (Rank Not Applicable),5.112
Sail the Bay,9000,Gelding,17.217,Black,"powhatan, Virginia",,1400 pounds,May-98,,Eventing ,5.115
Pebbles Bandanna,1100,Mare,15.009,Sorrel,"Ravenna, Michigan",Star and hind sock,,Jun-96,,Trail Horse (Rank Not Applicable) Team Penning (Competed or Shown) Team Sorting (Competed or Shown),5.117
Tudor Me,1000,Gelding,16.213,Bay,"Lincoln, California","White on both hind feet, white snip on face",,2-May,,Hunter Under Saddle (Trained) Dressage (Prospect) Jumper (Prospect),5.119
Sweet Anthem,0,Mare,16.303,Brown,"Palmyra, Indiana",,1200 pounds,2-Feb,JC - Jockey Club (),Dressage (Prospect),5.12
Cherokee,450,Mare,14.087,Bay,"Paradise, Texas",Bay tobiano with bonnet face,900 pounds,8-Apr,,Endurance Riding (Prospect) Trail Horse (Trained) Competitive Trail Competitions (Prospect) Pole Bending (Prospect) Barrel Racing (Prospect),5.128
Ranger,2500,Gelding,16.116,Bay,"Prince Frederick, Maryland",Black ear tips and stockings around,1200 pounds,2-Jan,,,5.133
Long Story Short,15000,Gelding,13.201,Pinto,"Eugene, Oregon",Buckskin and white with black mane and tail,800 pounds,2-Jan,PtHA - Pinto Horse Association of America (),Eventing (Competed or Shown) Dressage (Competed or Shown) Jumper (Competed or Shown) Trail Horse (Competed or Shown) Team Penning (Competed or Shown),5.137
Daisy,4000,Mare,14.987,Chestnut,"Plymouth, Wisconsin",,,1-Jun,AMHA - American Morgan Horse Association (0157581),English Pleasure (Competed or Shown) Western Riding (Trained) Trail Horse (Prospect),5.137
Doubletrees Private Label,3000,Gelding,16.116,Bay,"Vancouver , Washington",,,3-May,ASHA - American Saddlebred Horse Association (113655),English Pleasure (Competed or Shown) Trail Horse (Trained) Hunter Under Saddle (Trained) Competitive Trail Competitions (Prospect),5.138
VHF Scent of Jasmine,5000,Mare,15.013,Bay,"Moneta, Virginia",,,8-Mar,ASHA - American Saddlebred Horse Association (),Country Pleasure (Prospect) Lesson Horse (Prospect) Equitation (Prospect),5.141
Every Friggin Detail,40000,Gelding,17.011,Brown,"Athens, Pennsylvania","Snip , left hind Pastern",1200 pounds,7-Feb,AQHA - American Quarter Horse Association (),Hunter Under Saddle (Trained),5.15
SB Double Up Dynamo,400,Mare,14.191,Bay,"Bakersfield, California",Blaze and three white stockings,950 pounds,May-96,AQHA - American Quarter Horse Association (3519279),Breeding  Companion Only ,5.155
Sukey Tawdry,500,Mare,14.299,Bay,"Covington, Louisiana",,,8-Mar,JC - Jockey Club (),Hunter Under Saddle  Trail Horse  Western Pleasure ,5.155
Princess Lilly,0,Mare,14.11,Bay,"Hamilton, Ohio",White star on head,,Jan-98,USEA (127444),Eventing (Competed or Shown) Dressage (Competed or Shown) Hunter (Competed or Shown) Jumper (Competed or Shown) Youth/4-H Horse (Trained),5.156
Gracie,1000,Mare,14.185,Chestnut,"Suwanee, Georgia",,1000 pounds,Apr-00,ASHA - American Saddlebred Horse Association (),Trail Horse (Trained) English Pleasure (Trained) Jumper (Trained) Western Riding (Trained) Competitive Trail Competitions (Trained),5.162
Hotey,200,Gelding,8.99,Brown,"Gallatin, Tennessee",White Nose,,9-Jan,,,5.172
DRF Trinity,5000,Mare,16.001,Chestnut,"Richland Center, Wisconsin",Blaze,600 pounds,12-May,ACPS - American Connemara Pony Society (HB M 2360 XLIX) AWR - American Warmblood Registry (USA AWR 1808131212),Field Hunter (Prospect) Jumper (Prospect) Hunter (Prospect) Dressage (Prospect) Eventing (Prospect),5.175
Disco Dis Way (Disco),500,Mare,16.003,Bay,"Parrish, Florida",,,8-Apr,JC - Jockey Club (),Jumper  Hunter Under Saddle  Hunter  Eventing  Dressage ,5.178
Himalaya SF,10000,Mare,16.219,Pinto,"Kelley, Iowa",Blaze and pinto markings,,12-Jun,KWPN - Dutch Warmblood Studbook in North America () USEF - United States Equestrian Federation () USDF (),Jumper (Prospect) Eventing (Prospect) Breeding (Prospect) Dressage (Prospect),5.183
Fashion Leader,2000,Gelding,16.083,Bay,"Bridgeville, Delaware",Star,1200 pounds,9-Apr,,Jumper (Prospect) Dressage (Prospect) Equitation (Prospect) Eventing (Prospect) Hunter (Prospect),5.185
Maddy,8000,Mare,14.203,Black,"ider, Alabama",none,800 pounds,12-Apr,FHANA - Friesian Horse Association of North America (840004201201941),Driving (Prospect) Brood Mare (Rank Not Applicable) Dressage (Prospect) Pleasure Driving (Prospect) Halter (Competed or Shown),5.186
mirage (elbertons ellie),1500,Mare,16.202,Bay,"wantage, New Jersey",,1000 pounds,Jan-99,,Brood Mare (Trained) Breeding  Dressage (Prospect) Field Hunter (Prospect) Endurance Riding (Prospect),5.187
Cookie,1000,Mare,14.219,Palomino,"Waco, Texas","Blaze,snip",,12-Mar,APHA - American Paint Horse Association (),Western Pleasure (Rank Not Applicable) Ranch Horse (Rank Not Applicable) Western Riding (Rank Not Applicable) Youth/4-H Horse (Rank Not Applicable) Halter (Rank Not Applicable),5.19
Pushers Fancy Parolee,1375,Mare,15.083,Black,"Mt Vernon, Illinois",White blaze and white sock,1000 pounds,7-Apr,TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association (),Gaited (Trained) Trail Horse (Trained),5.191
Maximum Velocity II MAX,5000,Gelding,16.31,Bay,"Chrisman, Illinois",None,1200 pounds,Jun-94,British Hanoverian Horse Society (),Youth/4-H Horse (Rank Not Applicable) Trail Horse (Rank Not Applicable) Dressage (Competed or Shown) Jumper (Competed or Shown) Eventing (Competed or Shown),5.192
,4500,Mare,15.997,Chestnut,"Neuvo / Perris, California",White Star & Stripe,1100 pounds,Mar-00,AQHA - American Quarter Horse Association (3904739),Western Pleasure (Competed or Shown) Hunter Under Saddle (Trained),5.197
,2000,Mare,14.197,Dun,"Ardmore, Tennessee",Red Dun,1200 pounds,5-May,AQHA - American Quarter Horse Association (),Breeding  Brood Mare  Western Pleasure (Show)  Western Pleasure  English Pleasure ,5.205
ACOOLEST MISS,2500,Mare,16.015,Sorrel,"Murrieta, California",,1100 pounds,10-Feb,AQHA - American Quarter Horse Association (5356990),Brood Mare ,5.206
Black stallion for dressage and breeding,72000,Stallion,16.284,Black,"Dresden,",,,11-Apr,,Breeding  Dressage ,5.207
Bo,3000,Gelding,15.193,Bay,"Fletcher, North Carolina",,,2-May,AQHA - American Quarter Horse Association (4360880),Hunter (Champion) Eventing (Competed or Shown) Trail Horse (Trained) Dressage (Competed or Shown) Jumper (Competed or Shown),5.21
Wilco,25000,Gelding,16.293,Bay,"Bush, Louisiana",star and socks,,6-Mar,,Jumper (Prospect) Equitation (Competed or Shown) Hunter (Champion),5.216
Cali,1000,Mare,16.191,Grey,"Christmas, Florida",,,5-Jan,,Eventing (Prospect) Jumper (Prospect) Dressage (Prospect) Halter (Trained) Longe-Line (Trained),5.219
,10000,Mare,14.293,Sorrel,"shelbyville, Kentucky",full blaze three stockings,1000 pounds,10-Jan,,Cutting (Trained) Reined Cow Horse (Prospect) Working Cow Horse (Prospect),5.22
My Ferragamo,18500,Mare,16.104,Bay,"Delray Beach, Florida",,,9-Aug,,Jumper  Hunter  Dressage  Equitation ,5.221
Zippo's Skye,150,Mare,14.204,Black,"Antrim, New Hampshire",White face marking and white right hind leg,850 pounds,5-May,,Trail Horse (Trained),5.226
Diamante SMP,3300,Gelding,14.212,Bay,"Fairfax, Missouri",Diamond on his head and socks,950 pounds,1-Sep,NAPHA (),Gaited  Trail Horse (Trained),5.233
hank,12000,Gelding,16.284,Black,"south rockwood, Michigan",blze 3 white socks 1 short,1150 pounds,6-Jul,,Dressage (Champion),5.233
Buckskin Dun It ( Betsy),2800,Mare,14.991,Buckskin,"Friendship, Tennessee",No Markings,,5-May,AQHA - American Quarter Horse Association (4730414),Ranch Sorting (Trained) Ranch Horse (Prospect) Barrel Racing (Prospect) Team Roping (Prospect) Western Riding (Trained),5.235
Grenade SF,12000,Gelding,16.219,Pinto,"Kelley, Iowa",Blaze and pinto markings,,11-May,KWPN - Dutch Warmblood Studbook in North America () USEF - United States Equestrian Federation () USDF (),Dressage (Prospect) Eventing (Prospect) Jumper (Prospect),5.241
Hott Flash,15000,Mare,16.013,Bay,"Amarillo, Texas",Star and Sock,,5-May,AQHA - American Quarter Horse Association (4789517),Western Pleasure (Show) (Competed or Shown) Hunter Under Saddle (Competed or Shown) Equitation (Competed or Shown) Horsemanship (Competed or Shown) Halter (Competed or Shown),5.254
Karson,1500,Gelding,13.205,Chestnut,"Batavia, New York","Blaze, left hind sox",900 pounds,Aug-97,,Jumper (Champion) Barrel Racing (Champion) Lesson Horse (Trained) Youth/4-H Horse (Champion) Dressage (Competed or Shown),5.26
Lilly,1000,Mare,12.302,Grey,"Fellsmere, Florida",,,9-Jan,,Driving  Breeding  Hunter Under Saddle  Lesson Horse  Youth/4-H Horse ,5.261
GSP gelding ideal für amateur or youn rider,180000,Gelding,16.203,Brown,"Dresden,",,,4-Apr,,Dressage (Champion),5.262
Shasta,2500,Mare,15.29,Bay,"Roseboro, North Carolina",white stockinds and perfect blaze,1600 pounds,6-May,,Driving (Champion) Draft (Champion) Trail Horse (Champion) Breeding (Prospect) Pleasure Driving (Champion),5.264
Grover,2000,Gelding,16.001,Brown,"Windsor, Nova Scotia, Canada",,,7-May,,English Pleasure (Rank Not Applicable),5.269
Klementine RSM,1100,Mare,14.313,Bay,"Tooele, Utah","Star, Strip",1000 pounds,7-Apr,AHA - Arabian Horse Association (0638504),Hunter (Prospect) Driving (Prospect) Western Pleasure (Prospect) Endurance Riding (Prospect),5.278
Sneak over the Stars,101,Mare,15.985,Buckskin,"Elkhorn, Wisconsin",,,10-Jun,AQHA - American Quarter Horse Association (),Western Pleasure (Prospect) Trail Horse (Prospect) Western Pleasure (Show) (Prospect),5.279
Coastline (L.A.),10000,Gelding,15.292,Chestnut,"Zionsville, Indiana",White blaze,,Feb-00,,Dressage (Prospect),5.281
Tag,900,Gelding,14.186,Sorrel,"Pinon Hills, California",almost flaxen mane,,5-Aug,,Endurance Riding (Prospect) Trail Horse (Trained) Competitive Trail Competitions (Trained),5.287
